Authority	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	% Increase
Caerphilly	670.22	696.62	755.73	825.01	861.81	902.2	946.39	992.93	1028.88	1056.52	1088.56	62.42
Calderdale	827.13	870.54	912.7	1003.41	1037.78	1086.01	1138.57	1193.6	1224.34	1246.05	1233.77	49.16
Cambridge	115.14	114	116.62	126.59	131.65	136.92	142.4	148.81	155.51	162.51	166.57	44.67
Cambridgeshire	618.66	668.07	730.53	797.4	813.24	845.82	888.12	932.49	979.11	1017.27	1047.78	69.36
Camden	766.53	799.16	832.29	933.14	959.13	978.06	996.85	996.86	1021.76	1021.76	1021.77	33.30
Cannock Chase	136.03	148.83	150.66	164.76	172.44	181.24	186.9	194.22	200.23	210.38	216.13	58.88
Canterbury	107.7	114.07	123.85	135	151.05	156.93	163.85	168.86	177.96	185.39	189.58	76.03
Caradon	136.81	143.98	156.05	173.35	183.58	192.59	202.46	213.34	220.87	-	-	#VALUE!
Cardiff	632.78	691.46	748.4	840.7	871.9	872.1	909.98	948.62	984.08	1027.63	1060.88	67.65
Carlisle	138.35	147.24	158.11	164.02	169.04	174.96	181.03	188.55	195.04	202.01	206.03	48.92
Carmarthenshire	723.86	747.4	801.17	867.27	907.1	941.29	987.75	1032.74	1074.33	1111.05	1144.76	58.15
Castle Point	147.96	160.56	174.06	184.5	189.99	199.44	199.44	212.75	220.79	231.33	237.99	60.85
Central Bedfordshire UA	-	-	-	-	-	-	-	-	-	1373.45	1414.28	#VALUE!
Ceredigion	723.35	760.61	801.69	846.7	883.19	901.35	931.84	969.45	1016.99	1067.17	1097.25	51.69
Charnwood	119	123.15	130.63	137.51	146.86	149.43	149.54	156.3	163.97	170.05	173.26	45.60
Chelmsford	126.37	134.54	141.52	146.26	153.3	158.92	165.15	171.73	179.04	189.32	195.85	54.98
Cheltenham	121.13	128.27	132.95	151.46	159.07	165.35	170.34	174.81	180.85	186.21	190.88	57.58
Cherwell	117.97	132.91	136.72	162.18	169.87	175.97	183.9	190.33	195.6	201.34	203.18	72.23
Cheshire	739	781.43	819.75	901.19	887.46	911.62	956.65	1002.08	1037.17	-	-	#VALUE!
Cheshire East UA	-	-	-	-	-	-	-	-	-	1214.78	1237.28	#VALUE!
Cheshire West and Chester UA	-	-	-	-	-	-	-	-	-	1243	1274.85	#VALUE!
Chester	123.59	135.23	143.27	148.98	157.58	165.6	173.53	181.48	186.4	-	-	#VALUE!
Chesterfield	102.82	107.39	112.56	116.78	120.11	123.75	129.82	134.84	141.39	147.13	151.32	47.17
Chester-le-Street	122.85	129.87	140.61	154.86	162.48	170.44	178.69	187.1	193.75	-	-	#VALUE!
Chichester	116.58	121.59	132.32	139.83	143.29	148.03	151.98	158.44	164.73	169.87	173.89	49.16
Chiltern	126.12	133.17	144.4	157.56	170.72	179.34	185.19	192.35	201.06	208.45	214.43	70.02
Chorley	115.37	124.16	134.79	155.06	166.6	175.59	186.94	187.26	191.18	196.58	196.48	70.30
Christchurch	86.73	86.73	116.32	118.45	135.98	142.5	149.46	156.9	163.96	170.58	175.64	102.51
City of London	524.74	547.73	576.82	676.34	715.93	748.15	782.74	820	840.5	857.31	857.31	63.38
Clackmannanshire	 913 	 951 	 978 	 995 	" 1,043 "	" 1,074 "	" 1,127 "	" 1,148 "	" 1,148 "	" 1,148 "	" 1,148 "	25.74
Cleethorpes	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
