Authority	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	% Increase
Lincoln	130.32	138.78	155.43	170.82	183.6	192.69	202.23	212.22	221.76	230.49	236.25	81.28
Lincolnshire	635.04	672.39	738.99	810	857.79	899.82	944.73	987.21	1021.77	1039.68	1065.69	67.81
Liverpool	1051.83	1047	999.75	1029.74	1060.63	1112.48	1151.31	1193.91	1252.41	1308.14	1308.14	24.37
Luton	693.83	734.88	843.27	896.43	896.43	940.71	987.18	1034.88	1079.17	1122.12	1143.89	64.87
Macclesfield	109.95	119.87	124.45	136.58	147.87	154.79	160.74	165.58	170.03	-	-	#VALUE!
Maidstone	149.32	156.29	168.07	182.89	190.77	200.36	209.31	215.35	222.39	232.31	238.55	59.76
Maldon	107.97	115.15	136.99	151.81	168.03	178.59	187.3	194.39	203.32	205.69	209.69	94.21
Malvern Hills	115.8	146.38	153.45	158.44	160.93	164.45	167.07	170.16	176.73	182.02	185.82	60.47
Manchester	913.53	931.8	950.44	974.2	991.98	1016.78	1042.2	1070.34	1097.1	1130.01	1130.01	23.70
Mansfield	133.91	146.93	154.82	161.41	165.23	168.77	169.86	169.86	176.89	182.12	186.95	39.61
Medina	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Medway	646.63	686.26	745.36	826.2	853.09	901.84	951.56	994.44	1044.51	1095.57	1122.78	73.64
Melton	111.49	119.1	137.34	147.1	157.2	164.93	173.56	181.57	190.65	195.89	201.13	80.40
Mendip	129.06	134.85	147.09	155.16	159.72	164.58	170.01	183.42	188.64	193.76	196.76	52.46
Merthyr Tydfil	798.56	870.24	938.85	1003.56	1048.67	1089.58	1129.86	1169.36	1203.23	1251.61	1298.71	62.63
Merton	743.71	801.11	844.02	919.17	968.11	992.48	1017.26	1053.8	1094.88	1122.34	1106.57	48.79
Mid Bedfordshire	123.71	127.76	135.08	140.82	151.5	159.06	167.09	174.17	180.52	-	-	#VALUE!
Mid Devon	129.96	136.53	150.51	167.13	170.67	177.97	184.81	193.92	202.84	209.24	213.82	64.53
Mid Suffolk	122.3	126.58	140.62	151.12	160.52	168.4	175.26	182.11	191.45	197.7	203.39	66.30
Mid Sussex	127.18	134.03	143.34	154.85	161.75	169.47	177.61	183.34	191.92	199.39	204.47	60.77
Middlesbrough	776.92	810.72	857.23	965.51	987.46	1034.89	1083.41	1122.79	1177.79	1231.2	1261.98	62.43
Midlothian	 963 	" 1,001 "	" 1,036 "	" 1,072 "	" 1,126 "	" 1,176 "	" 1,210 "	" 1,210 "	" 1,210 "	" 1,210 "	" 1,210 "	25.65
Milton Keynes	725.88	788.97	848.23	916.57	931.58	980.32	1029.7	1069.48	1112.11	1150.8	1175.59	61.95
Mole Valley	89.98	97.9	106.46	122.04	128.24	132.4	138.34	143.66	147.82	155.02	155.26	72.55
Monmouthshire	596.78	674.49	730.39	840.59	917.22	954.45	990.9	1040.87	1090.95	1144.68	1188.71	99.19
Moray	 786 	 825 	 865 	 907 	 996 	" 1,045 "	" 1,096 "	" 1,135 "	" 1,135 "	" 1,135 "	" 1,135 "	44.40
Neath Port Talbot	836.61	884.19	960.28	1030.1	1087.22	1128.31	1165.42	1204.26	1242.837	1292.059	1343.02	60.53
New Forest	138.61	149.17	161.74	169.59	179.65	188.14	195.44	200.59	209.03	216.03	220.12	58.81
Newark & Sherwood	166.78	171	183.69	190.51	195.7	200.72	209.04	213.22	222.32	224	227.7	36.53
Newbury	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Newcastle upon Tyne	907.61	943.86	1016.34	1117.86	1173.22	1193.26	1217.59	1251.51	1298.9	1336.11	1355.09	49.30
Newcastle-under-Lyme	119.93	126.72	134.02	144.4	150.34	159.43	166.82	171.83	176.84	181.99	186.06	55.14
Newham	645.15	676.78	710.62	780.26	817.71	857.29	873.91	915.86	945.63	945.63	945.63	46.58
Newport	566.98	576.24	597.39	671.11	731.62	772.22	813.86	854.13	885.56	921.39	957.49	68.88
Norfolk	650.43	691.11	758.52	879.12	929.7	956.7	1004.4	1052.1	1091.52	1123.74	1145.07	76.05
North Ayrshire	 827 	 877 	 927 	 977 	" 1,025 "	" 1,075 "	" 1,125 "	" 1,152 "	" 1,152 "	" 1,152 "	" 1,152 "	39.30
North Bedfordshire	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
North Cornwall	152.42	156.3	172.44	182.62	193.19	201.18	209.83	220.07	231.55	-	-	#VALUE!
North Devon	128.14	132.02	144.91	156.75	164.25	170.34	178.39	185.46	194.11	200.4	207.99	62.31
North Dorset	82.34	92.57	101.71	112.4	122.97	131.45	138.83	152.31	164.29	171.92	176.82	114.74
North East Derbyshire	163.62	170.89	185.96	192.48	200.48	211.4	220.34	227.14	240.1	248.81	257.25	57.22
North East Lincolnshire	856.96	898.55	974.56	1061.24	1073.4	1125.26	1154.61	1187.2	1219.38	1259.14	1258.59	46.87
North Hertfordshire	121.98	131.15	143.71	162.67	167.62	179.18	187.22	197.19	214.45	220.61	213.76	75.24
North Kesteven	122.57	130.6	142.6	149.23	157.9	164.42	172.07	177.74	185.44	192.19	199.18	62.50
North Lanarkshire	 876 	 907 	 939 	 972 	" 1,006 "	" 1,041 "	" 1,077 "	" 1,098 "	" 1,098 "	" 1,098 "	" 1,098 "	25.34
North Lincolnshire	966.44	984.43	1023.75	1044	1046.06	1094.59	1146.39	1180.19	1226.43	1272.92	1310.82	35.63
North Norfolk	107.15	111.99	121.86	129.79	138.06	142.85	148.79	153.62	160.73	167.27	173.54	61.96
North Shropshire	147.47	150.3	156.21	168.02	175.88	187.13	192.86	197.55	201.85	-	-	#VALUE!
North Somerset	712.36	744.96	835.7	964.76	989.58	1035.72	1085.78	1118.34	1144.12	1171.71	1194.91	67.74
North Tyneside	868.6	903.54	966.93	1047.78	1098.51	1124.15	1179.32	1222.34	1264.85	1296.28	1328.06	52.90
North Warwickshire	168.07	178.24	194.66	206.8	213.76	222.57	228	228.72	239.28	245.17	251.24	49.49
North West Leicestershire	141.72	149.61	164.01	175.25	182.12	189.47	198.96	207.89	212.52	217.38	220.03	55.26
North Wiltshire	137.77	147.38	160.33	170.73	183.22	191.88	202.18	212.21	220.55	-	-	#VALUE!
North Yorkshire	618.85	667.74	732.85	817.13	817.09	857.45	899.47	943.54	988.36	1027.3	1057.48	70.88
Northampton	136.77	144.84	156.28	167.06	175.25	180.33	189.17	201.17	209.63	218.26	223.5	63.41
Northamptonshire	626.87	657.68	735.94	794.24	833.27	856.98	882.68	917.55	956.05	993.34	1028.11	64.01
Northavon	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Northumberland	762.85	808.19	863.62	974.5	1022.64	1072	1091.3	1110.94	1122.05	-	-	#VALUE!
Northumberland UA	-	-	-	-	-	-	-	-	-	1363.76	1406.58	#VALUE!
Norwich	149.92	158.92	169.92	177.57	182.88	189.27	195.93	205.14	212.73	220.93	225.87	50.66
Nottingham	856.69	912.37	971.67	1034.83	1079.48	1131.28	1181.56	1215.66	1252.15	1294.73	1332.28	55.51
Nottingham	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Nottinghamshire	791.9	838.62	907.81	994.05	994.11	1032.88	1081.43	1124.69	1158.43	1193.18	1193.18	50.67
Nuneaton & Bedworth	143.57	151.78	159.37	174.11	182.81	191.49	191.49	191.49	197.04	201.97	203.99	42.08
Oadby & Wigston	124.98	137.35	149.47	159.77	169.22	177.34	183.55	188.14	192.84	198.63	202.6	62.11
Oldham	872.91	963.36	987.37	1090.83	1142.23	1196.08	1255.19	1317.06	1306.74	1332.71	1350.16	54.67
Orkney Islands	 690 	 754 	 824 	 900 	 940 	 973 	" 1,007 "	" 1,037 "	" 1,037 "	" 1,037 "	" 1,037 "	50.29
Oswestry	139.35	151.41	183.37	202.61	214.13	219.39	223.83	230.9	233.42	-	-	#VALUE!
Oxford	174.86	191.46	199.65	207.64	215.95	224.54	233.52	240.53	250.15	261.41	266.63	52.48
Oxfordshire	652.03	699.28	767.66	870.41	924.81	966.46	1008.75	1049.1	1089.75	1130.62	1161.71	78.17
Pembrokeshire	602.9	609.19	628.08	673.57	706.98	734.35	764.39	796.41	829.47	864.32	895.47	48.53
Pendle	164.66	176.07	186.48	200.43	213.72	224.68	225.15	236.3	249.36	253.82	253.52	53.97
Penwith	124.04	130.58	136.25	145.14	149.36	153.09	157.24	161.51	167.26	-	-	#VALUE!
Perth & Kinross	 795 	 875 	 936 	 983 	" 1,037 "	" 1,088 "	" 1,136 "	" 1,158 "	" 1,158 "	" 1,158 "	" 1,158 "	45.66
Peterborough	754.96	792.82	868.19	933.52	941.22	979.4	1019.12	1033.52	1048.21	1074.63	1102.28	46.01
Plymouth	705.6	727.81	821.7	942.9	951.54	998.37	1048.01	1100.13	1154.3	1209.71	1244.67	76.40
Poole	705.78	744.3	832.91	949	955.89	998.93	1034.05	1069.29	1121.67	1175.49	1209.6	71.38
Portsmouth	648.21	685.19	752.11	901.06	909.86	955.67	1003.84	1044.32	1094.94	1149.12	1149.12	77.28
Powys	627.53	673.49	712.61	786.96	867.71	901.09	946.44	984.96	1023.4	1057.32	1102.7	75.72
Preston	179.71	185.7	195.47	208.33	208.24	215.12	225.04	233.76	242.97	255.16	261.5	45.51
Purbeck	101.81	116.41	126.79	152.21	159.66	167.59	175.27	184	195.5	211.43	217.51	113.64
Reading	848.13	897.06	977.16	1050.07	1047.89	1097.66	1149.8	1190.05	1212.66	1261.05	1288.8	51.96
Redbridge	688.02	719.12	756.12	853.95	900.8	942.69	978.74	1026.62	1066.32	1095.53	1095.53	59.23
Redcar & Cleveland	1015.41	1011.48	1011.8	1012.15	1028.11	1078.25	1128.09	1169.07	1226.06	1272.11	1303.71	28.39
Redditch	143.73	154.41	163.46	170.02	170.03	175.14	180.4	188.01	195.57	204.38	209.49	45.75
Reigate & Banstead	118.1	132.74	143.96	153.53	159.99	167.79	176.07	184.63	190	199.16	199.17	68.65
Renfrewshire	 846 	 896 	 941 	 988 	" 1,039 "	" 1,091 "	" 1,143 "	" 1,165 "	" 1,165 "	" 1,165 "	" 1,165 "	37.67
Restormel	127.35	130.25	139.42	143.18	152.83	159.84	166.72	174.59	181.47	-	-	#VALUE!
Rhondda Cynon Taf	772.44	809.64	852.83	903.02	954.89	1002.29	1052.6	1103.35	1157.017	1213.96	1262.94	63.50
Ribble Valley	112.2	115.24	120.22	123.67	128.51	134.8	139.87	143.38	149.73	153.73	157.38	40.27
Richmond upon Thames	785.67	847.76	923.16	1043.83	1097.72	1131.3	1131.3	1186.72	1233.94	1287.39	1287.39	63.86
Richmondshire	142.85	150.96	163.45	171.68	179.94	190.56	193.3	197.98	202.87	208.44	213.59	49.52
Rochdale	816.91	875.96	918.24	968.74	1010.88	1060.41	1109.38	1152.65	1196.45	1240.73	1285.38	57.35
Rochester upon Medway	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Rochford	131.54	139.34	152.95	167.2	181.27	189.47	200.01	208.34	219	227.33	233.34	77.39
Rossendale	162.45	166.19	177.59	208.55	218.77	229.68	234.8	241.58	248.58	255.85	255.88	57.51
Rother	105.67	112.82	136.18	149.97	159.21	169.3	178.97	187.39	196.98	203.36	209.88	98.62
Rotherham	781.58	842.12	886.07	947.1	993.42	1042.82	1094.51	1146.77	1190.8	1225.25	1258.27	60.99
Rugby	131.51	138.97	152.73	156.55	160.94	166.58	171.58	177.58	182.8	187.18	187.18	42.33
Runnymede	28.26	49.95	68.4	85.5	100.44	109.65	115.11	120.78	126.81	132.93	136.89	384.39
Rushcliffe	93.73	99.49	114.46	122.17	129.17	146.89	154.32	160.67	167.58	171.74	174.91	86.61
Rushmoor	121.41	123.87	128.82	147.73	152.07	158.58	164.06	169.64	174.57	180.64	184.07	51.61
Rutland	954.17	1012.69	1069.2	1131.4	1182.47	1240.92	1300.33	1347.26	1396.15	1439.39	1466.43	53.69
Ryedale	143.85	153.65	166.45	168.51	176.13	182.06	187.18	193.81	201.82	207.63	209.61	45.71
Salford	940.75	989.34	1037.88	1105.35	1144.08	1178.4	1213.76	1250.17	1287.68	1326.31	1326.31	40.98
Salisbury	110.58	114.18	121.94	128.09	134.13	140.26	146.96	154.84	162.14	-	-	#VALUE!
Sandwell	814.25	876.03	932.97	987	1005.75	1050	1079.4	1111.78	1143.42	1164.05	1175.73	44.39
Scarborough	127.17	140.1	153.9	167.86	182.7	191.26	198.11	205.9	215.25	222.42	227.76	79.10
Scottish Borders	 725 	 785 	 864 	 935 	 985 	" 1,019 "	" 1,064 "	" 1,084 "	" 1,084 "	" 1,084 "	" 1,084 "	49.52
Scunthorpe	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Sedgefield	264.5	278.16	302.07	310.75	325.82	333.62	344.7	354.37	363.63	-	-	#VALUE!
Sedgemoor	109.79	112.87	118.42	122.96	127.19	141.43	143.15	148.24	159.75	165.47	172.68	57.28
Sefton	836.55	872.14	950.51	979.08	1025.47	1075.83	1118.46	1165.83	1212.34	1245	1277.24	52.68
Selby	137.44	145.13	156.38	162.85	167.98	173.77	178.24	184.53	192.31	199.51	204.89	49.08
Sevenoaks	128.2	141.42	166.89	177.15	188.25	196.92	206.12	215.22	228.85	239.06	246.8	92.51
Sheffield	845.32	903.9	951	1016.37	1066.55	1117.25	1168.63	1213.58	1243.92	1268.14	1285.75	52.10
Shepway	136.91	144.99	157.9	172.9	207.35	227.39	238.97	248.37	260.18	272.6	280.85	105.13
Shetland Islands	 684 	 747 	 810 	 873 	 936 	 981 	" 1,017 "	" 1,053 "	" 1,053 "	" 1,053 "	" 1,053 "	53.95
Shrewsbury & Atcham	107.78	121.17	130.35	135.22	139.58	144.8	151.62	157.46	162.88	-	-	#VALUE!
Shropshire	638.9	676.91	743.92	867.65	848.05	890.03	931.86	975.66	1018.59	-	-	#VALUE!
Shropshire UA	-	-	-	-	-	-	-	-	-	1216.47	1228.54	#VALUE!
Slough	658.31	700.87	767.45	881.53	890.17	934.25	980.67	1029.73	1081.11	1134.55	1157.81	75.88
Solihull	701.98	763.87	814.85	900.34	925.17	969.96	1012.61	1063.77	1113.52	1163.35	1190.03	69.52
Somerset	635.6	679.43	767.08	858.36	907.29	939.05	986	963.39	999.9	1027.3	1027.3	61.63
South Ayrshire	 832 	 874 	 918 	 964 	" 1,012 "	" 1,063 "	" 1,111 "	" 1,154 "	" 1,154 "	" 1,154 "	" 1,154 "	38.70
South Bedfordshire	169.24	177.89	186.42	196.86	212.8	225.79	237.32	245.31	255.92	-	-	#VALUE!
South Bucks	106.48	113.79	126.61	131.37	145.01	151.59	159.56	174.58	183.04	189.8	194.92	83.06
South Cambridgeshire	82.46	83.18	106.3	109.6	110.74	138.91	147.95	158.57	166.89	172.75	177.27	114.98
South Derbyshire	110.95	119.67	124.76	129.88	136.13	142.67	149.58	154.64	160.28	164.65	167.35	50.83
South Gloucestershire	791.66	833.28	935.73	992.91	1021.03	1058.75	1113.99	1169.95	1223.33	1269.34	1299.7	64.17
South Hams	110.14	113.86	120.64	131.94	137.78	145.6	152.87	160.19	167.52	168.4	173.33	57.37
South Herefordshire	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
South Holland	112.66	122.24	132.06	139.94	147.55	154.36	163.4	168.87	174.73	179.63	184.38	63.66
South Kesteven	88.38	92.3	100.97	118.42	126.41	132.36	138.96	146.48	156.32	161.08	163.8	85.34
South Lakeland	120.89	128.14	138.89	152.61	158.58	165.98	173.23	179.95	187.28	194.17	199.36	64.91
South Lanarkshire	 901 	 924 	 947 	 971 	" 1,005 "	" 1,040 "	" 1,076 "	" 1,101 "	" 1,101 "	" 1,101 "	" 1,101 "	22.20
South Norfolk	117.77	125.16	138.31	142.24	152.64	160.12	168.24	175.73	179.77	189.53	191.72	62.79
South Northamptonshire	138.25	142.7	147.01	158.4	170.95	179.02	188.49	199.34	210.35	219.77	226.96	64.17
South Oxfordshire	134.59	140.49	150.37	160.43	167.21	172.38	174.34	176.14	183.39	189.36	191.39	42.20
South Ribble	105.73	111.76	135.31	160.51	174.95	183.68	190.61	196.36	203.8	209.71	209.72	98.35
South Shropshire	135.64	152.29	181.68	197.83	212.37	220.76	224.42	233.99	242.93	-	-	#VALUE!
South Somerset	133.43	138.99	144.25	156.72	167.87	173.65	180.91	187.25	196.83	205.37	211.05	58.17
South Staffordshire	35.25	64.31	99.83	114.31	120.25	124.48	128.25	133.01	137.17	140.44	143.95	308.37
South Tyneside	830.91	866.15	936.64	1005.05	1054.79	1106.41	1148.1	1186.01	1221	1256.39	1291.53	55.44
South Wight	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Southampton	696.64	772.86	833.17	987.78	1016.77	1057.34	1098.52	1134.81	1174.47	1208.97	1239.21	77.88
Southend-on-Sea	667.31	700.91	735.41	850.8	860.53	906.16	950.94	997.93	1047.34	1088.61	1121.15	68.01
Southwark	705.62	748.62	776.1	809.78	829.21	844.14	844.14	877.06	912.14	912.14	912.14	29.27
Spelthorne	101.03	105.57	111.9	118.61	134.21	140.94	147.96	153.8	159.8	167.3	167.3	65.59
St Albans	129.12	136.11	157.43	168.72	176.91	185.49	190.67	196.71	204.8	206.72	206.78	60.15
St Edmundsbury	111.9	122.68	140.49	158.86	170.1	179.18	191.3	197.87	206.26	206.65	213.51	90.80
St Helens	889.71	943.09	966.78	990.84	1015.75	1041.25	1067.25	1093.9	1121.02	1149.03	1154.85	29.80
Stafford	114.71	120.25	127.64	135.39	139.15	143.81	148.19	152.29	158.09	164.87	166.28	44.96
Staffordshire	610.56	664.92	711.13	817.15	823.11	860.27	902.85	947.54	985.44	1009.61	1028.81	68.50
Staffordshire Moorlands	139.93	143.83	146.58	151.77	156.83	163.88	166.66	172.52	174.11	179.64	180.67	29.11
Stevenage	117	127.53	139.65	152.22	159.83	166.22	170.37	174.63	181.44	188.52	188.52	61.13
Stirling	 900 	 954 	" 1,011 "	" 1,062 "	" 1,105 "	" 1,149 "	" 1,201 "	" 1,223 "	" 1,209 "	" 1,209 "	" 1,209 "	34.33
Stockport	860.27	923.12	977.93	1018.86	1056.66	1102.19	1157.17	1212.13	1266.85	1320.67	1363.58	58.51
Stockton-on-Tees	837.92	883.39	923.58	968.5	979.17	1018.08	1063.98	1106.9	1158.01	1207.3	1231.49	46.97
Stoke-on-Trent	703.84	758.68	815.56	902.62	901.93	946.16	992.52	1041.15	1069.25	1111.48	1143.55	62.47
Stratford-on-Avon	88.53	92.93	95.93	136.59	141.65	148.18	157.24	164.01	172.59	177.29	180.63	104.03
Stroud	178.74	181.48	189.88	196.56	201.43	207.11	214.1	220.56	229.24	236.36	241.67	35.21
Suffolk	627.75	671.22	751.41	890.28	924.48	947.97	990.63	1035.18	1073.88	1100.16	1126.53	79.46
Suffolk Coastal	115	120.29	132.11	141.47	148.56	156.05	163.67	169.18	177.84	184.63	191.66	66.66
Sunderland	757.96	805.5	861.86	926.49	971.85	1018.47	1065.29	1102.58	1139.5	1172.54	1186.62	56.55
Surrey	619.83	648	721.98	851.49	889.38	920.7	966.69	1009.62	1058.04	1089.18	1116.36	80.11
Surrey Heath	103.99	114.46	134.31	152.9	161.67	169.08	176.75	181.14	189.47	198.53	203.01	95.22
Sutton	672.58	721.76	781.2	874.14	938.84	983.87	1022.24	1072.31	1108.76	1140.89	1140.89	69.63
Swale	95.37	119.06	129.85	125.63	135.9	142.71	149.78	154.94	163.05	171.02	176.16	84.71
Swansea	680.58	710.17	754.7	831.94	879.88	910.07	956.24	990.3	1027.38	1072.99	1121.26	64.75
Swindon	666.06	709.83	817.62	938.65	961.95	993.24	1040.44	1076.32	1113.87	1153.04	1173.49	76.18
Tameside	845.97	892.54	923.08	957.99	982.83	1029.51	1057.63	1086.48	1112.73	1147.42	1169.14	38.20
Tamworth	85.4	93.52	99.97	106.87	114.87	120.67	126.58	132.78	139.28	145.55	149.55	75.12
Tandridge	113.64	125.1	136.67	154.73	161.83	169.7	178.1	184.86	191.82	200.84	206.4	81.63
Taunton Deane	98.73	104.71	114.69	117.54	125.19	130.67	134.68	137.74	141.88	142.62	146.8	48.69
Teesdale	141.87	150.32	166.68	176.28	192.54	203.63	209.71	221.83	226.68	-	-	#VALUE!
Teignbridge	118.12	124.72	136.17	148.6	152.34	154.16	158	164.03	175.19	184.77	194.38	64.56
Telford & Wrekin	724.42	821.39	885.06	927.02	939.97	983.17	1029.69	1062.52	1107.8	1135.64	1156.39	59.63
Tendring	109.47	114.63	124.88	128.96	141.27	146.86	156.12	163.74	171.72	177.1	177.56	62.20
Test Valley	94.62	97.38	104.52	110.5	118.75	122.73	128.11	133.41	139.38	145.44	152.11	60.76
Tewkesbury	84.71	89.01	101.08	102.46	104.7	109.99	114.72	120.87	129.11	135.95	140.99	66.44
Thamesdown	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Thanet	132.47	137.42	152.12	158.85	174.92	182.96	191	199.54	208.54	218.51	226.2	70.76
The Vale of Glamorgan	600.2	654.88	709.08	783.09	829.29	865.93	913.37	959.3	1002.66	1043.43	1085.67	80.88
The Wrekin	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Three Rivers	128.28	135.85	147.94	169.39	174.13	178.31	183.48	188.8	188.8	193.12	192.78	50.28
Thurrock	648.45	698.4	766.17	916.56	904.05	937.08	974.25	1011.78	1037.07	1073.43	1105.56	70.49
Tonbridge & Malling	120.04	125.58	142.31	153.11	160.71	168.03	175.65	184.02	193.24	202.62	208.91	74.03
Torbay	732.67	787.03	873.18	957.63	985.94	1033.88	1083.99	1137.17	1184.25	1231.16	1265.01	72.66
Torfaen	624.09	653.63	716.19	823.97	892.4	939.59	986.12	1030.23	1070.41	1108.1	1145.38	83.53
Torridge	107.1	111.75	119.05	125.97	133.62	141.77	152.62	165.98	173.81	173.97	178.46	66.63
Tower Hamlets	586.7	629.68	642.27	732.22	766.69	797.28	797.28	836.37	865.64	885.52	885.52	50.93
Trafford	630.46	675.66	715.53	790.65	849.16	895.78	941.43	987.5	1036.22	1085.94	1106.34	75.48
Tunbridge Wells	106.4	110.28	115.17	126.08	137.31	143.25	149.7	157.91	166.04	173.7	180.76	69.89
Tynedale	143.49	149.98	161.63	175	178.53	186.51	192.16	195.04	198.98	-	-	#VALUE!
Uttlesford	125.27	130.36	139.08	149.21	158.9	170.36	180.4	183.13	191.4	199.49	209.58	67.30
Vale of White Horse	98.42	106.52	112.72	120.25	128.03	133.66	141.35	147.86	157.56	164.98	176.12	78.95
Vale Royal	124.42	133.4	143.91	149.97	156.72	164.2	172.1	178.13	184.24	-	-	#VALUE!
Wakefield	712.89	745.46	785.38	878.14	903.98	939.02	971.71	1005.7	1056.34	1095.78	1122.58	57.47
Walsall	774.05	835.91	902.38	1082.27	1113.66	1156.94	1200.17	1246.87	1283.01	1332.66	1384.64	78.88
Waltham Forest	754.61	777.22	805.09	946.14	1003.37	1050	1076.25	1103.16	1130.73	1152.21	1152.21	52.69
Wandsworth	261.31	304.92	228.68	359.63	359.63	359.63	359.63	377.25	377.25	377.25	377.06	44.30
Wansbeck	142.08	152.41	155.18	155.18	159.06	163.83	166.29	170.45	170.45	-	-	#VALUE!
Wansdyke	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Warrington	714.22	758.37	818.05	906.46	900.07	944.71	991.05	1039.81	1088.02	1131.14	1158.32	62.18
Warwick	94.1	101.3	112.78	119.35	129.44	136.2	143.91	151.06	157.57	163.12	167.26	77.75
Warwickshire	677.68	713.6	801.04	865.14	922.21	949.5	996.28	1045.21	1085.98	1128.18	1155.25	70.47
Watford	186.57	197.76	217.34	225.9	231.93	236.35	238.7	244.9	251	253.5	249.84	33.91
Waveney	95.39	100.14	106.05	122.28	128.68	134.22	142.03	144.85	148.3	154.12	158.98	66.66
Waverley	128.9	134.73	143.96	156.89	165.4	173.37	179.39	183.94	192.02	199.18	204.12	58.36
Wealden	155.54	163.28	178.3	186.24	197.51	206.52	216.56	225.81	237.54	244.21	250.13	60.81
Wear Valley	161.41	168.07	183.15	183.9	187.72	195.73	201.42	211.59	214.41	-	-	#VALUE!
Wellingborough	39.98	64.98	107.93	113.09	121.75	127.67	133.64	139.4	144.55	144.26	148.25	270.81
Welwyn Hatfield	142.69	150.09	158.12	182.5	193.99	203.26	212.7	218.27	223.69	230.24	231.63	62.33
West Berkshire	821.03	875.22	948.48	1027.39	1064.86	1107.6	1141.05	1173.1	1219.05	1266.04	1290.71	57.21
West Devon	165.25	144.8	162.41	169.77	185.68	195.56	204.44	214.47	229.04	235.88	240.81	45.72
West Dorset	108.98	116.47	127.35	144.51	154.58	163.18	168.8	173.56	181.42	186.65	189.71	74.08
West Dunbartonshire	 999 	" 1,024 "	" 1,050 "	" 1,070 "	" 1,089 "	" 1,113 "	" 1,138 "	" 1,163 "	" 1,163 "	" 1,163 "	" 1,163 "	16.42
West Lancashire	128.19	146.64	155.67	164.7	168.2	173.72	179.04	186.81	193.37	196.76	196.86	53.57
West Lindsey	126.01	135.93	148.1	167.51	182.35	196.33	203.53	210.35	218.94	225.83	236.01	87.29
West Lothian	 888 	 919 	 951 	 984 	" 1,028 "	" 1,074 "	" 1,101 "	" 1,128 "	" 1,128 "	" 1,128 "	" 1,128 "	27.03
West Oxfordshire	76.21	77.32	78.22	99.94	109.12	112.9	115.96	121.2	127.41	133.07	138.03	81.12
West Somerset	128.66	134.06	138.2	142.75	144.54	149.94	154.02	159.95	168.91	176.38	181.32	40.93
West Sussex	620.46	660.78	724.95	859.32	910.26	954.18	1001.34	1050.84	1098	1133.64	1161.99	87.28
West Wiltshire	132.58	141.63	156.28	163.27	172.86	180.99	200.92	199.99	204.41	-	-	#VALUE!
Westminster	235.35	259.28	271.28	345.76	363.83	363.54	370.55	377.96	377.97	378.02	378.07	60.64
Weymouth & Portland	112.32	120.05	131.52	201.16	215.03	223.42	232.25	242.58	251.52	263.77	269.02	139.51
Wigan	794.73	865.41	907.7	966.8	994.75	1042.06	1075.4	1113.03	1135.33	1158.05	1172.87	47.58
Wiltshire	641.53	693.62	762.6	845.26	852.15	885.42	929.25	973.85	1020.59	-	-	#VALUE!
Wiltshire UA	-	-	-	-	-	-	-	-	-	1261.94	1291.81	#VALUE!
Winchester	116.17	123.01	133.43	141.14	147.58	153.31	164	170.44	179	184.42	188.36	62.14
Windsor & Maidenhead	717.2	794.54	814.98	864.47	897.01	939.53	987.05	1025.35	1050.72	1071	1012.94	41.24
Wirral	911.01	952.7	940.6	1000.33	1012.99	1052.4	1099.32	1144.66	1184.68	1237.18	1253.2	37.56
Woking	137.33	145.97	152.28	160.55	166.77	174.11	182.52	190.62	190.62	199.8	204.75	49.09
Wokingham	828.19	883.56	943.7	1032.27	1030.87	1052.16	1083.29	1118.45	1173.14	1228.17	1251.56	51.12
Wolverhampton	913.77	954.92	994.31	1024.19	1054.2	1101.63	1155.55	1212.3	1271.87	1316.72	1316.72	44.10
Woodspring	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Worcester	109.41	115.64	121.47	132.99	136.28	137.52	143.47	147.34	153.69	161.09	165.17	50.96
Worcestershire	611.67	672.62	727.94	822.35	824.52	857.03	899.37	943.8	984.77	1013.72	1039.06	69.87
Worthing	122.58	129.6	142.47	154.53	169.65	177.66	186.3	193.59	203.04	210.78	216	76.21
Wrexham	701.15	728.64	784.35	850.27	910.59	930.96	962	1002.29	1034.52	1068.98	1100.54	56.96
Wychavon	111.61	113.32	116.68	120.79	123.64	128.4	133.38	138.33	142.91	146.56	149.09	33.58
Wycombe	114.5	124.84	130.75	136.04	140.12	144.51	149.37	153.51	158.48	163.32	165.89	44.88
Wyre	112.13	117.25	129.56	133.71	146.1	153.35	160.2	167.62	174.6	182.1	188.92	68.48
Wyre Forest	145.52	152.59	161.26	169.21	177.33	184.47	189.16	194.69	200.23	205.59	210.74	44.82
